Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
1,hatefreeworldX,Vasudhaiva Kutumbakam-World is family | BharatJodo | IndiaAgainstHate | NYAY | Tricolor🇮🇳 belongs to every Indian, 🇮🇳🇧🇩🇵🇰🇱🇰🇧🇹🇳🇵 ,2019,13689,347524,72,"An emotional appeal from a Gujarati Mata Ji to @RahulGandhi Ji. 

#GujaratElection2022 https://t.co/KqWtbgeENS",['GujaratElection2022']
2,sashastrakranti,सनातनी,,448,90,2838,84,"Can't stop laughing!! 🤣😂😂😂

Gujarat will not fall in his trap, but people of Delhi are suffering, and that's a sad reality!!

#GujaratElection2022 https://t.co/O3s6IGjtVQ",[]
3,GuptaPragnya,Constitution of India above all. My opinions are not endorsements. NO DM 🙏 Staunch supporter of the Spirit of Democracy & Secularism,India,1784,10797,89266,66,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022 https://t.co/d87K2iFp0P",[]
5,CongressFans,,,5081,19230,440481,34,"Breaking news: Kanchan Jariwala, the #AAP's Surat East candidate, has issued a statement saying, ""I withdrew my nomination on my own, there was no pressure from anyone."" People asked me throughout the campaign, ""Why did I join an anti-national party?""

#GujaratElection2022",['AAP']
7,Har_preet_Kaur_,Assistant Professor of English | UGC NET Qualified,,322,289,12116,5,"@AAPHaryana Meanwhile AAP in Punjab 👇👇 #Justice_For_1158  #GujaratElection2022 

https://t.co/sjiVvbDgcX https://t.co/v5xsTKYZU4","['Justice_For_1158', 'GujaratElection2022']"
11,OnlyWayFrdIsAAP,"We need constitutional guarantee of basic rights to every human being l Play football, not politics I formula1, Tennis & Squash l Masters in Kejrinomics",Pune & Kuwait,2474,550,37595,16,Finally!! Chappal ki maala for #BJP #Gujarat candidate! Finally janta is showing its anger! Shamelessly the neta is putting on the garland of slippers also!! #GujaratElection2022 https://t.co/9oEI8UZ2UQ,"['BJP', 'Gujarat']"
17,MaddymehtaManoj,Winning is my Attitude💪..Not my Luck👍,"Navi Mumbai, Airoli",83,60,10751,5,Honoured to be Inducted by my party @NCPspeaks in the 'Star Campaigners' list for the #GujaratElection2022 https://t.co/Hf2U69L4mL,['GujaratElection2022']
21,judedavid21,"what goes around..comes around..

RTs ARE NOT ENDORSEMENTS

Karnataka Congress Seva Dal",Union of India,4783,7282,238746,2,"#DelhiConfidential | Union minister Parshottam Rupala, one of the party's star campaigners and a leader from the state, is likely to take a break to do ministerial duty. #GujaratElection2022

https://t.co/qpj4oPwMQI",['DelhiConfidential']
27,SUSHIL160,"Arise, Awake, Stop Not till the goal is reached","Jaipur, India",210,55,5544,79,"The mood of Gujarat!!!
#GujaratElection2022 https://t.co/WXuqmEPpr3",['GujaratElection2022']
29,akpdelhi84,,"New Delhi, India",528,143,4297,29,"AAP Chief #ArvindKejriwal is expected in #Valsad , his last campaign stop before he leaves for #Delhi 

#GujaratElection2022 https://t.co/iaZ8Pcvyus","['ArvindKejriwal', 'Valsad', 'Delhi']"
31,mrugayaswami,"Fear is no policy,surrender is no option....","गोवा (Goa), भारत (Bharat)",424,43,41452,5,"BJP announces 3 more candidates for Gujarat polls

Read @ANI Story | https://t.co/sbDJRT4POm
#GujaratElection2022 #Gujarat #BJP https://t.co/PJvOojlF48","['GujaratElection2022', 'Gujarat']"
32,GokulChandSha10,"Senior jouranalist, 
Approved from Government of Rajasthan
vast experience in journalism by working in many newspaper eg., Times of india.
Accreditation no:1740",,78,626,171284,27,"@INCIndia spokesperson Shri @ssrajputINC on #GujaratElection2022 the congress is focusing on peoples issues unlike The A,B,  teams of BJP doing Hindu- Muslim.
@INCGujarat 
Shri @Jairam_Ramesh 

#BharatJodoYatra https://t.co/0NQvlLZtR1",['GujaratElection2022']
39,gitithadani,Shakti -open source energy - scrap article 370   - yes to uniform civil code + no to appeasement - corrupt belong in Jail,N.Delhi,2032,2914,93993,0,@PadmajaJoshi Gujarat is one of the nicest states to travel in - I live in delhi &amp; kejri mian has taken the city back more than a decade #GujaratElection2022,['GujaratElection2022']
41,tv9gujarati,NO.1 GUJARATI NEWS CHANNEL. Follow us for breaking news and updates from Gujarat and India. For latest News Videos Subscribe https://t.co/KMXU8OdKK1,"Gujarat, India",62,882551,413361,1,"Know the entire schedule of #BJP's star campaigner PM @narendramodi in poll-bound state #Gujarat

#GujaratElection2022 #TV9News https://t.co/bVphySDvhV","['BJP', 'Gujarat', 'GujaratElection2022', 'TV9News']"
48,rahuldu77023690,राजा का बेटा राजा नहीं होगा जो काबिल होगा वही राजा होगा,"Kannauj, India",295,58,944,12,"Ravindra Jadeja's wife joins the BJP, and hare  is the reason: 🤣🤣

#RavindraJadeja #RivaBaJadeja #GujaratElections #GujaratElection2022 #GujaratAssemblyElection2022 https://t.co/yOJP22wUhb","['RavindraJadeja', 'RivaBaJadeja', 'GujaratElections']"
51,BholaRa80916905,"youngster, dog lover, learner , painter ,",,802,49,10805,2,"He added, there was a lot of pressure from the party. People were harassing me by calling again &amp; again. There was no one from BJP.

Why Arvind Kejriwal &amp; AAP members spread false information which was not happened?

Just for few seats in Gujarat?

2/n

#GujaratElection2022 https://t.co/JpIz74wgVn",[]
54,SDchaudhary03,"जय श्री राम 🙏 
BJP supporter

 #AKSHAYKUMAR
 @akshaykumar 🌍
 #BMCM #HeraPheri3","Gujarat, India",50,228,10703,2,"Powerful people make pleces powerfull
@ChaudhryShankar sir tharad 
#GujaratElection2022 https://t.co/VJNuICBzvp",['GujaratElection2022']
64,NitinMahajan99,Journalist,New Delhi,913,2677,25495,6,"#PMModi will officially blow the campaign bugle for the #GujaratElection2022 on November 20, when he is scheduled to hold three public meetings in Saurashtra region | @pragyakaushika 

https://t.co/DUlVivkXKE https://t.co/AXq3MKhAnL","['PMModi', 'GujaratElection2022']"
70,Ambal_Parody,जितने उडाओगे उतने नए बनेगे | हर हर महादेव 📿🔱 | Dogra Entrepreneur in Exile | Ex-HCLite | Ardent believer of Destiny | Zombie Slayer | PARODY,"Jammu, India",375,536,1127,0,"Dear Gujrati Brothers and Sisters, if you want to see #DelhiLiquorScam accused #ManishSisodia getting arrested after #GujaratElections then Vote for #BJP.

#GujaratElection2022 #GujaratElections","['DelhiLiquorScam', 'ManishSisodia', 'GujaratElections', 'BJP', 'GujaratElection2022', 'GujaratElections']"
71,KrSrv3,"Assistant Professor 
Personal Account",Jammu,139,23,500,117,"Alarming. Please do watch and share.
#GujaratElections2022 #GujaratElection2022 https://t.co/IUkzWvEJqL","['GujaratElections2022', 'GujaratElection2022']"
72,saadat1954,,,1253,119,24519,0,@team_hyv #GujaratElection2022  only,['GujaratElection2022']
74,VishalChanderd,Live and let live..,Sydney,17,4,538,0,@aruna_dk @narendramodi @narendramodi_in @PMOIndia @JPNadda @BJP4India But u need to be happy that it’s the right time this happened during Gujarat elections! #GujaratElection2022 ! Time for publicity! Heard that u guys r struggling there! All the best!,['GujaratElection2022']
75,ManojKu01856680,,,173,12,278,11,"@Jairam_Ramesh Gentle Reminder to you chamcha

Modi is not a feku master,
He is UKHADfeku master

That's why #Congress is just in 2 states n if you loose #HimachalPradeshElections &amp; #GujaratElection2022 then by 2024 we will witness #CongressMuktBharat 

That's why he is UKHADFEKU",['Congress']
78,Faarmy07,"Two Biggest Weapon Of Any Country to Save OutSide & Inside Threat..❤️💪 🇮🇳 
No place here for #Bollywood fans & Fake Stars.
History never lies..","Mumbai, India",19,15,2930,0,"He must be from #AAP... Color changes like #AapPolitician.. 

#BJP #Punjab #Delhi #Mumbai #Gujarat #GujaratElections #GujaratElection2022 #Gujju https://t.co/JBCgBezLQd","['AAP', 'AapPolitician', 'BJP', 'Punjab', 'Delhi', 'Mumbai', 'Gujarat', 'GujaratElections', 'GujaratElection2022', 'Gujju']"
80,PRABHUDASRATHW2,,,276,116,3134,39,"BJP goons kidnapped AAP candidate! 

#BJPKidnapsAAPCandidate
#GujaratElection2022 
@Arun2981 @shubh_ind @apj234 @acbsm1997 @bhaktsgod https://t.co/cFBLjmSHmn","['BJPKidnapsAAPCandidate', 'GujaratElection2022']"
81,KESHAVS68558233,,,207,87,54761,7,"This is a detailed analysis of Shraddha Walker killer Aftab Ameen Poonawala by me. Please watch and share with others.
https://t.co/HTroQnbzn3

#MeraAbdulAisaNahiHai #DelhiMurder #GujaratElection2022 #LoveJihad #Shraddha #shraddhawalker #AftabAminPoonawala https://t.co/zIJTLMn8Ue",[]
106,electric_rahul,.,,1867,2481,450632,7,"Congress ka LOL ho gaya..1 candidate form bharke aaya aur aaj dusare ka naam candidate list mein declare kiya!
Great Indian National Circus party 🤣🤣🤣🤣
#GujaratElection2022 https://t.co/6iwbjZ7dd4",[]
108,Neptune68,"Avatar of Talented Goldmedalist Enggnr, an Innovator and IT Leader. I plan to be CEO by 2025 and Member of UN Security Council by 2030. Plan to win Nobel Prize.",Globe,142,37,631,0,#138 #bjp candidates in #GujaratElection2022 are corrupt including #bhupendrapatel #v2k ?  Engineer Saheb asked to withdraw cadidature #v2k. This means #bjp is out of #GujaratElection2022. #IndianArmyPeoplesArmy,"['bjp', 'GujaratElection2022', 'bhupendrapatel', 'v2k', 'v2k', 'bjp', 'GujaratElection2022', 'IndianArmyPeoplesArmy']"
139,SKaur_05,"Influencer, Writer,  Public Speaker,  Social Worker,  Educationist, TEFL certified, Toughest one....not religious 🙏 I owe to world till my last breath.",Amritsar,904,2271,3700,0,"Truth of White washed Aam Admi clinic in Punjab and it's true
#GujaratElection2022
https://t.co/Yqmussyo7c",['GujaratElection2022']
143,ashokupadhyay3,"Journalist@Timesinternet
#विचारों में मतभेद स्वाभाविक है...मेरी बातों को अन्यथा न लें#","Ghaziabad, India",157,117,1080,1,"Now I can understand Gujarati a bit .. here is the testimony 
#Bhavnagar 
#GujaratElection2022 https://t.co/Oi2roWtJIo","['Bhavnagar', 'GujaratElection2022']"
145,rameshsaini089,जीवन मै संघर्ष यदि न हो तो शेरों को जीना भी मुश्किल लगता है.,"New Delhi, India",8250,14495,292095,6,"Sharing some glimpses from the Shining India Survey Gujarat Election 2022. 
Are the #Gujarat elections slowly reaching a turning point?
#ShiningIndiaSurvey #GujaratSurvey 
#GujaratElection2022 #Opinion https://t.co/wy0phr2OCQ",['Gujarat']
146,rameshsaini089,जीवन मै संघर्ष यदि न हो तो शेरों को जीना भी मुश्किल लगता है.,"New Delhi, India",8250,14495,292095,1,"Sharing some glimpses from the Shining India Survey Gujarat Election 2022. 
Are the #Gujarat elections slowly reaching a turning point?
#ShiningIndiaSurvey #GujaratSurvey 
#GujaratElection2022 #Opinion https://t.co/GN6GJ8VP1Z",['Gujarat']
148,Shailu_4_You,"सब सुख लहै तुम्हारी सरना, तुम रच्छक काहू को डरना ।।

जिला संयोजक युवा काँग्रेस आईटी सेल एवं सोशल मीडिया, बालाघाट (म.प्र)।","Balaghat, India",4739,1561,76348,65,"All is not well in the BJP in Gujarat 

#GujaratElection2022 #કોંગ્રેસ_આવે_છે #GujaratMission125 https://t.co/fevxsGksdN","['GujaratElection2022', 'કોંગ્રેસ_આવે_છે', 'GujaratMission125']"
150,Shailu_4_You,"सब सुख लहै तुम्हारी सरना, तुम रच्छक काहू को डरना ।।

जिला संयोजक युवा काँग्रेस आईटी सेल एवं सोशल मीडिया, बालाघाट (म.प्र)।","Balaghat, India",4739,1561,76348,24,"Is lapdog media even talking about BJP-RSS' internal rebellion in Gujarat? 

#GujaratElection2022 #કોંગ્રેસ_આવે_છે #GujaratMission125 https://t.co/ZxLCqxov2o","['GujaratElection2022', 'કોંગ્રેસ_આવે_છે']"
152,devmiral,Motivating and Empowering,,79,81,6823,0,"@msisodia Lies...
Reality
#Gujarat
@DeshGujarat
#GujaratElection2022
https://t.co/JiVfu9OKmH","['Gujarat', 'GujaratElection2022']"
154,KashmiriReds,,"Liverpool, England",38,10,647,0,The cesspit of Indian states #GujaratElection2022,['GujaratElection2022']
155,panditsripathak,"ज्योतिषाचार्य,, priest, #nationalist ,कट्टर हिंदू, सनातन धर्मall tweets r my personal view RT not endorsement,",India & NJ USA ,12778,14098,171862,4,"All abt Ground reality of #GujaratElection2022 with @unsubtlestyle @Maheshpurohit06 n @PokharnaPrince .. An interesting n amazing session.. Plz do watch share like n comment. #JaiShreeRam 
Plz watch it @UnSubtleDesi @thehawkeyex @vijaygajera @Starboy2079 
https://t.co/p9WJJVLJiD",['GujaratElection2022']
175,Ashwathama_Kris,,Hindurashtra ,1198,79,13172,2,"Dear Gujjus,
Listen to what Anna has to say,  just in case you missed it. 
#GujaratElection2022 #GujaratAssemblyPolls https://t.co/VDeBT9I9Sd","['GujaratElection2022', 'GujaratAssemblyPolls']"
177,Majid_Ahmad786,FOLLOW TO FOLLOW BACK KARO.🇮🇳☝️,,2079,695,23185,14,"#BJP kidnapped #AAP candidate from #Surat East, alleges #ManishSisodia 
#GujaratElection2022
https://t.co/f1dbVonlPd","['BJP', 'AAP', 'Surat', 'ManishSisodia', 'GujaratElection2022']"
178,docjokham,"मूवी में विलन बनने का शौक़ है, किसी की ज़िंदगी में नही।","New Delhi, India",1798,3462,64979,3,"Can sense some hidden anti incumbency sentiments this time. Might affect some sure seats.
#GujaratElection2022",['GujaratElection2022']
180,JK_theForgiver,I am Patriotic & Nationalistic & Love my country unlike #TTG,India ,155,7,1891,0,"#GujaratElection2022 
#Kejriwal एक मक्कार, धूर्त, लालची और लबाड़ है l
#Gujarati shouldn't trust him. 
#GujaratAssemblyPolls 
#Gujarat 
Delhi being a Capital, he shouldn't be CM of Capital State. @ANI","['GujaratElection2022', 'Kejriwal', 'Gujarati', 'GujaratAssemblyPolls', 'Gujarat']"
181,maqbool_sm,"Management Professional | Campaign for @INCIndia, @RahulGandhi  | RTs, # & news stories sharing do not necessarily mean endorsement. | Views are personal.","Dubai, Karnataka ",445,5730,109450,0,"The vote of the citizens of Gujarat will decide the future of the Nation: @kanhaiyakumar

#GujaratAssemblyPolls #GujaratElection2022
@INCGujarat https://t.co/MUeOXwNQXz","['GujaratAssemblyPolls', 'GujaratElection2022']"
182,HemantJena14,"Hemantkrjena
congress lovers
sciencegraduate",,795,688,169500,8,"RSS is examining whether guidelines should be framed to prevent Modi,  Government, Ministers, MPs, MLAs and even political leaders from making derogatory (Jumla) and hurtful statements (Lies) in public. 

#HindusUnderAttack 
#GujaratElection2022 https://t.co/IUSipAtzzH",[]
184,mr_mayank,Entrepreneur | Secular | Constitution First | Anti-Fascist | INC Supporter | @CongressTask | #BharatJodoYatra,Fascist Regime,2441,21067,152861,25,"#GujaratElection2022 
AAP fled #Himachal as it being Punjab's neighbor is aware of the disaster that AAP is in Punjab. A live example is AAP candidate losing deposit in Adampur bypoll

Gujaratis do not understand #Punjabi so Kejriwal found it convenient to deceive a #gujarati","['GujaratElection2022', 'Himachal']"
186,AapkaSisodia,"ભાઈ ભાઈ 🤟🏼
કેજરીવાલ ભાઈ 🙏🏻","New Delhi, India",496,486,3449,5,"BJP in #Gujarat has kidnapped #AAP candidate &amp; threatened him to withdraw from the contest. Heights of democracy 🙏 

#BJPKidnapsAAPCandidate
#GujaratElection2022 
#GujaratAssemblyPolls 
#Fraud_BJP https://t.co/0XMgMqMRLh https://t.co/UVcaQzYQGz","['Gujarat', 'AAP']"
187,jhpandya98,,"Himatnagar, India",807,364,1621,17,"Absolutely Honoured 😊.

No Voter To Be Left Behind 🤷🏻‍♂️

#Gujarat #GujaratElection2022 #GujaratAssemblyPolls #GujaratElections2022 #ElectionDay #vote #election 

@ECISVEEP @SpokespersonECI @CEOGujarat @NehaAmin16 @ahmedabadmirror @DevChoudharyIAS https://t.co/PCBng5YaEf","['Gujarat', 'GujaratElection2022', 'GujaratAssemblyPolls']"
193,syed_zakir_1947,Mitron... trust me I have not made a fool of anyone. but fools have made me the prime minister of India,"Chennai, India",1583,1813,7718,1,"Oh my God ....
#GujaratElection2022 at 32nd position bottom most https://t.co/2l09zEZrNp",['GujaratElection2022']
194,srinuseera,"Technologies, films & sports follower",vizag,42,6,55,59,"A week ago, 11 MLAs of Ahmedabad were sitting on stage with Modi Ji.

Yesterday, Ticket of 10 of these MLAs was cut for #GujaratElection2022 . https://t.co/HHPQtijxXq",[]
210,basu_smarajit,Democracy is not the law of the majority but the protection of the minority.... Albert Camus,,498,1418,393683,66,"The Joint Secretary of #AAP (SC ST Cell) Kiran Kumar Vasava resigned from the party along with many office bearers.

#GujaratElection2022 https://t.co/7hbRimEHl6",['AAP']
214,HareshkumarBh16,,,15,0,2,3,#GujaratElection2022 @Rivaba4BJP all the best 🙌😊 medam https://t.co/5bkLJY48Ew,['GujaratElection2022']
233,syed_zakir_1947,Mitron... trust me I have not made a fool of anyone. but fools have made me the prime minister of India,"Chennai, India",1583,1813,7718,1,"'There Was No One From BJP': AAP's 'Kidnapped' Gujarat Candidate Lashes Out At Own Party

#GujaratElection2022

https://t.co/AATMxT7TaP",['GujaratElection2022']
238,VirendraAggarw1,,,5000,494,29628,19,"It is 55yrs and not 70yrs 
Know the truth 
Check for yourself what Congress did as below 
#GujaratElection2022
 #BharatJodoYatra
#BharatJodoYatraOdisha 
#BharatJodoYatraAssam https://t.co/n3iV492aRq",['GujaratElection2022']
245,syed_zakir_1947,Mitron... trust me I have not made a fool of anyone. but fools have made me the prime minister of India,"Chennai, India",1583,1813,7718,1,"Congress is sweeping Gujarat.. 
#GujaratElection2022 https://t.co/dvCMZHagAc",['GujaratElection2022']
253,SuryadevVishw12,,"Uttar Pradesh, India",1284,445,4318,1,"#GujaratElection2022 is turning interesting, this interview shows how! @AAPGujarat candidate who withdrew at the last moment in Surat says he will clear his stand in 5 days. Let's wait, but meanwhile watch this...!

AajTak के साथ Kanchan Jariwala ... https://t.co/0MIyakRF28",['GujaratElection2022']
257,ANSHUBAJPAI1,Congress supporter,,148,551,142630,0,CLEAN SWEEP BY CONGRESS IN GUJARAT AND HIOMACHAL PRADESH #GujaratElection2022,['GujaratElection2022']
262,jal_vala,"I support earth climate change mission,we believe we can change.","chital, Gujarat India",383,270,2290,43,"Glimpses of public meeting surat. 

.#GujaratElection2022 https://t.co/51YGWvfqa0",['GujaratElection2022']
272,jal_vala,"I support earth climate change mission,we believe we can change.","chital, Gujarat India",383,270,2290,7,"@AamAadmiParty ""How can democracy be expected from a Jana Sanghi whose full-time mission is to destroy democracy? 👇👇
#BJPKidnapsAAPCandidate #BJP #GujaratElection2022 https://t.co/bLbdRo5aUI",[]
293,KRavi016,"Er by profession 
NIT Nagpur",,317,234,22671,7,"Growing support for AAP in tribal areas could be the biggest blow to INC if it is able to convert into votes by AAP as M-T is the main base of INC.
#GujaratElection2022 #GujaratAssemblyPolls https://t.co/ums7zNpNoJ",[]
299,MunnaCh38716362,,,9,0,3,97,"#GujaratElection2022 | The issue of progress &amp; development is important. I will like to express my gratitude to PM Modi, Amit Shah &amp; Gujarat CM that the party has shown faith in me: Rivaba Jadeja

Cricketer Ravindrasinh Jadeja's wife Rivaba Jadeja will contest from Jamnagar North https://t.co/DXLbBihDfc",['GujaratElection2022']
302,fm_bharat,Radio Station. Bajega Bharat Jhoomega Bharat !,United States,79,39,3533,0,The latest The Bharat Media Daily! https://t.co/6Splnw1QzK Thanks to @inkyswill @jerzeyredhead @SekouFranklin #smartnews #gujaratelection2022,"['smartnews', 'gujaratelection2022']"
305,PriyaKa71453976,,,24,10,35,0,"@narendramodi @imjadeja #GujaratElection2022 | The issue of progress &amp; development is important. I will like to express my gratitude to PM Modi, Amit Shah &amp; Gujarat CM that the party has shown faith in me: #RivabaJadeja

Cricketer #RavindrasinhJadeja's wife Rivaba Jadeja will contest from Jamnagar North","['GujaratElection2022', 'RivabaJadeja', 'RavindrasinhJadeja']"
306,ashok12343,aam admi party national social media team member,JAIPUR rajasthan,1613,3705,421469,9,"Gujarat:

Prominent face of Patidar Movement &amp; Former NCP leader #ReshmaPatel joins @AAPGujarat.

#GujaratElection2022 https://t.co/hRgHKnCU1H","['ReshmaPatel', 'GujaratElection2022']"
308,D4giletwala,,"Nadiad, India",223,9,745,7,"Heartiest welcome to the respected @CMOGuj Shri @Bhupendrapbjp to the milk city Anand. He is here for the upcoming events of the Gujarat Legislative Elections 2022.
#આ_ગુજરાત_મેં_બનાવ્યું_છે 
#Election2022 
#GujaratElection2022 
#BJPGujarat https://t.co/7Bo8XwxHnw",[]
315,ER_Hariom_RJ,"सब इंसान बराबर हैं, चाहे वो किसी धर्म या जाति के हों। हमें ऐसा भारत बनाना है जहाँ सभी धर्म और जाति के लोगों में भाईचारा और मोहब्बत हो, न कि नफ़रत और बैर हो।","Taranagar, India",2393,2816,29901,5,"Great Indian National Circus!
Ek candidate ko phone karke bola aur usne nomination file kar liya, aaj list mein kisi aur ka naam declare hua same seat pe!
🤣🤣🤣
No wonder BJP could not be defeated by this incompetent bunch!
#GujaratElection2022 https://t.co/4xZlO1AfTV",[]
317,GujaratHeadline,"Authentic Video-based News updates from Ahmedabad, Gujarat",GUJARAT,4753,9997,90269,0,#GujaratElection2022 list of candidates filed nomination at #Ahmedabad Collector office for #Gujarat Assembly Elections 2022 @CollectorAhd https://t.co/zJuuLcH41k,"['GujaratElection2022', 'Ahmedabad', 'Gujarat']"
320,ikrunal__,"🇮🇳  BJP ,  yuva ,  Morcha ,  bhajap , India 🇮🇳                                 
@BJP4Gujarat

yuva ,Morcha , social media , incharge  porbandar",,73,67,21799,3,"#Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/I1NCdNZiWl","['Gujarat', 'GujaratElections', 'GujaratElection2022']"
324,Eshansinha15,"AAP is revolution  

   NOT
                        Political  party",,2466,2026,386378,4,"How can democracy be expected from a Jana Sanghi whose full-time mission is to destroy democracy? 👇👇
#BJPKidnapsAAPCandidate #GujaratElection2022 https://t.co/ankFbcOp1l",[]
352,urban_mnk,,,4850,5064,5919,8,"Hello guys please follow @dhruvika_shah3 in a large number ,
She is new on twitter and I am requesting you to follow her to grow quickly.
 
#GujaratElection2022 https://t.co/AfkvgCDrbl",[]
363,Jayantj74368690,"jayantjena
lovecongress",,96,83,27014,5,"@narendramodi @EmmanuelMacron @g20org Holders of public office are subject to an unwritten rule to not ‘blabber’ hurtful remarks against fellow citizens: 

#TrumpIsALaughingStock
#Trump2024
#GujaratElection2022 https://t.co/obd39aSJMj",[]
365,ImDNP,Sagittarius Mangoman & Entrepreneur / Adarsh Nationalist / Politics / Foodie / Some time Bhakt / I dont want reservation.,"India , Ahmedabad",582,428,13732,0,as expected it was a stunt … and diverting from the topic of cash for ticket scam. #KejriwalExposed #AAPkaDrama #aap #GujaratElection2022 https://t.co/rHZBbrIMPA,"['KejriwalExposed', 'AAPkaDrama', 'aap', 'GujaratElection2022']"
374,ET2047,Fan of Dr.Manmohan Singh,,348,423,23753,0,"@Sydusm @the_hindu @Taltos2020 The last time Modi gave a slogan, the whole team changed their SM names to ""Main bhi chowkidaar.""

This time no one  has dared  to put Modi's latest slogan  ""Maine Gujarat/Morbi bridge banaya.""

#Gujarat #GujaratElection2022","['Gujarat', 'GujaratElection2022']"
378,chiefcompounder,healthcare entrepreneur in emerging Asia & Africa | avant garde chef & mixologist | bihari 🤖| karmayogi | I write mean tweets | retweets/likes=not endorsement,India-Singapore-Dubai,108,9,31,0,The smile at the end ! #GujaratElection2022 https://t.co/Whbbe5actZ,['GujaratElection2022']
389,Harish_D_Nainol,"महामंत्री DPMGOI

CEO, HLK GROUP

POLITICAL LEADERS","Sanchor, India",749,1189,3046,0,"Nomination rally of Congress candidate Gulab Singh Rajput from Tharad constituency of Gujarat.

Congress is sweeping Gujarat this time.🔥

#GujaratElection2022
#GujaratElection2022 https://t.co/7dWCzG5Y3W","['GujaratElection2022', 'GujaratElection2022']"
404,DrRezaul_Karim,"Radiologist by Profession, Political and Social Activist. Believes in the Unity in Being. All India Trinamool Congress. জয় বাংলা, জয় হিন্দ","Kolkata, India",654,349,4762,0,"Surprisingly @BBCWorld interviewed two ex-twitter employee who accused @elonmusk of being far right &amp; spreading fake news in @TwitterIndia in the wake of #GujaratElection2022 
Wonder who spread fake news in #twitter all these years to help #Modi &amp; his politics of hate &amp;lies?","['GujaratElection2022', 'twitter', 'Modi']"
406,sauravsaha41,"A Student.A Proud Indian 🇮🇳
Always Do My Works With Honesty🙏🏻
An Ardent Cricket, 
@msdhoni & PM Modi Fan👏


Proudly followed by PM @narendramodi 🙏🏻🇮🇳",India,5183,6660,43426,0,"#Gujarat Elections: AAP left red-faced as candidate who withdrew nomination rejects party's 'kidnapped by BJP' charge🤣🤣🤣🤣
#GujaratElection2022 #ભાજપ_આવે_છે

https://t.co/S1HQ1idKsM
Source : ""DNA"" via Dailyhunt","['Gujarat', 'GujaratElection2022', 'ભાજપ_આવે_છે']"
416,anantmax1,"Congress in blood , Follow back If you are Congressi ✋️",Delhi,152,87,5238,2,"Which party will win in Gujarat Elections 2022?

#Gujarat #GujaratElections #GujaratElection2022","['Gujarat', 'GujaratElections', 'GujaratElection2022']"
418,aditheesh,Follow me 4 inspiring Thoughts.Keen observer of Media & Politics in India.Adding my thoughts & excerpts on what I read/observe. Authentic tweets. പന്താവൂർകാരൻ .,"मुंबई,पुणे,અમદાવાદ,ചങ്ങരംകുളം",1250,1165,16012,0,"#GujaratAssemblyPolls results will be an watershed moment in Indian national politics driving 2024 LS election outcomes. 

#GujaratElection2022 #GujaratPolls","['GujaratAssemblyPolls', 'GujaratElection2022', 'GujaratPolls']"
430,toogo_haris,"Multimedia Journalist | @themojostory 
Work: @euronews @scmpnews @thewire_in @themojostory @freepressk @thequint & more","Srinagar, India",345,182,599,0,"Latest dispatch with @szaffariqbal from #Gujarat #GujaratAssemblyPolls #GujaratElection2022 
https://t.co/7N1vBgqGgR","['Gujarat', 'GujaratAssemblyPolls', 'GujaratElection2022']"
431,nsbchd,"CalmChor, Jovial, Simple, Humorous, Friendly, T-Lover, Cool Saggitarians, CEO as Chief Entertaining Officer, AAPians/Congis/Sapayian will be Blocked.",हिंदुस्तान,2215,43213,602478,5,"How many Seats Fraud &amp; Kattar Beiman Party AAP will win in #GujaratElection2022 ?

Please RT, Share, Vote &amp; Comment!",['GujaratElection2022']
432,WadehraRajiv,"सीता राम चरित आति पावन
Business professional and generalist. Love my country with all its warts and uncertainties. Want a vibrant society.","New Delhi, India",596,857,22051,0,@ArvindKejriwal Fake opinion polls by fake polling agencies  being propagated by a fake leader faking to be a national leader and a fake Hindu... So much truth about fakery in one tweet! Phew! @sanchit_gs @ARanganathan72 @SandipGhose @Indian_Analyzer @Shehzad_Ind #kejriwal #GujaratElection2022,"['kejriwal', 'GujaratElection2022']"
434,SandipGhose,Business Leader I Believe in the India Growth Story I ‘C Suite’ Coach I Mentor to Young Professionals I Print and TV commentator on Current Affairs I Author I,India-at-large,1398,32920,149457,1,10 pm @NewsX #GujaratElection2022 with @rasheedkidwai @SandipGhose @ashutosh83B Roundtable on the Gujarat campaign https://t.co/DBFLNopMG3,['GujaratElection2022']
439,PragNews,Prag News is one of the best and leading Assamese live news channel for the most authentic and latest updates. Get breaking news from across the globe 24x7,"Ulubari, Guwahati",110,45273,36385,0,"All-Rounder Ravindra Jadeja stands for wife, currently contesting as Gujarat's BJP Candidate

https://t.co/BbY0e00h99

#Pragnews #RavindraJadeja #RavindrasinhJadeja #RivabaJadeja #BJP #GujaratPolls #GujaratElection2022","['Pragnews', 'RavindraJadeja', 'RavindrasinhJadeja', 'RivabaJadeja', 'BJP', 'GujaratPolls', 'GujaratElection2022']"
